threshold,fpr,dr,precision,fp_count,tp_count,tn_count,fn_count
21509866450.126644,0.0,0.0,0.0,0,0,7929,270002
1813773557.016326,0.0049,0.0096,0.9852,39,2597,7890,267405
696138629.880161,0.0112,0.0203,0.984,89,5468,7840,264534
25.716375,0.0154,0.0304,0.9854,122,8216,7807,261786
20.244301,0.0154,0.0407,0.989,122,10994,7807,259008
17.223187,0.0154,0.051,0.9912,122,13775,7807,256227
15.033758,0.0154,0.0613,0.9927,122,16538,7807,253464
13.496451,0.0154,0.078,0.9942,122,21061,7807,248941
10.518688,0.0158,0.1025,0.9955,125,27665,7804,242337
6.271596,0.0165,0.1539,0.9969,131,41558,7798,228444
4.650246,0.0174,0.2054,0.9975,138,55448,7791,214554
3.465531,0.0183,0.3083,0.9983,145,83234,7784,186768
2.651244,0.019,0.4112,0.9986,151,111021,7778,158981
1.879119,0.0207,0.514,0.9988,164,138790,7765,131212
1.196626,0.024,0.6169,0.9989,190,166564,7739,103438
0.612464,0.0285,0.7197,0.9988,226,194324,7703,75678
0.0,0.0539,0.8137,0.9981,427,219698,7502,50304
-0.056828,0.0605,0.8217,0.9978,480,221864,7449,48138
-0.45373,0.2477,0.9189,0.9921,1964,248104,5965,21898
-0.544683,0.4518,0.9646,0.9864,3582,260451,4347,9551
-0.727931,1.0,1.0,0.9715,7929,270001,0,1
