threshold,fpr,dr,precision,fp_count,tp_count,tn_count,fn_count
8.129397,0.0,0.0,0.0,0,0,3000,25065
1.21144,0.0023,0.0109,0.9751,7,274,2993,24791
1.060555,0.0023,0.0221,0.9875,7,555,2993,24510
0.968127,0.0023,0.0333,0.9917,7,835,2993,24230
0.928047,0.0023,0.0445,0.9938,7,1116,2993,23949
0.901486,0.0023,0.0557,0.995,7,1397,2993,23668
0.880504,0.0023,0.0669,0.9958,7,1677,2993,23388
0.841461,0.0023,0.0893,0.9969,7,2239,2993,22826
0.807856,0.0023,0.1117,0.9975,7,2800,2993,22265
0.707281,0.0023,0.1677,0.9983,7,4203,2993,20862
0.0,0.003,0.2073,0.9983,9,5196,2991,19869
-0.157105,0.006,0.2232,0.9968,18,5595,2982,19470
-0.741595,0.0317,0.3321,0.9887,95,8324,2905,16741
-0.941008,0.055,0.4411,0.9853,165,11055,2835,14010
-1.136246,0.0777,0.5495,0.9834,233,13773,2767,11292
-1.529509,0.1337,0.6556,0.9762,401,16432,2599,8633
-1.745346,0.1757,0.7467,0.9726,527,18717,2473,6348
-2.082657,0.2047,0.8713,0.9727,614,21838,2386,3227
-2.652964,0.3057,0.9711,0.9637,917,24341,2083,724
-3.256649,0.552,0.9976,0.9379,1656,25004,1344,61
-5.137673,0.9997,1.0,0.8931,2999,25065,1,0
